project_id,mp_name,district,work_type,sanction_date,sanction_amount,expenditure_to_date,start_date,expected_end_date,actual_end_date,status
WS/MP423/2024-2025/133971-Installing community drinking water plants,Ramprit Mandal,JHANJHARPUR,Normal/Others,30-Oct-24,239686,239686,30-Oct-24,,01-Mar-25,Completed
WS/MP423/2024-2025/133973-Street lights,Ramprit Mandal,JHANJHARPUR,Normal/Others,12-Mar-25,994000,994000,12-Mar-25,,03-Jul-25,Completed
WS/MP423/2024-2025/133975-Street lights,Ramprit Mandal,JHANJHARPUR,Normal/Others,12-Mar-25,994000,994000,12-Mar-25,,03-Jul-25,Completed
WS/MP423/2024-2025/133976-Street lights,Ramprit Mandal,JHANJHARPUR,Normal/Others,12-Mar-25,994000,994000,12-Mar-25,,03-Jul-25,Completed
"WS/MP18032/2024-2025/134022-Construction of roads, link roads, pathways or any other road with or without drainage system",SUDHAKAR SINGH,BUXAR,Normal/Others,23-Sep-24,1496846,1496846,23-Sep-24,,26-Nov-24,Completed
"WS/MP18032/2024-2025/134023-Construction of roads, link roads, pathways or any other road with or without drainage system",SUDHAKAR SINGH,BUXAR,Normal/Others,23-Sep-24,1496484,1496484,23-Sep-24,,26-Nov-24,Completed
"WS/MP18032/2024-2025/134024-Construction of roads, link roads, pathways or any other road with or without drainage system",SUDHAKAR SINGH,BUXAR,Normal/Others,23-Sep-24,1497484,1497484,23-Sep-24,,26-Nov-24,Completed
WS/MP18032/2024-2025/134025-Purchase of furniture and fixtures for educational purposes,SUDHAKAR SINGH,BUXAR,Normal/Others,18-Mar-25,899640,899640,18-Mar-25,,12-Jul-25,Completed
"WS/MP18032/2024-2025/134026-Construction of roads, link roads, pathways or any other road with or without drainage system",SUDHAKAR SINGH,BUXAR,Normal/Others,29-Nov-24,495133,495133,29-Nov-24,,27-Dec-24,Completed
WS/MP18032/2025-2026/134031-Construction of buildings for cr̬ches and anganwadies,SUDHAKAR SINGH,BUXAR,Repair and Renovation,22-Nov-25,487094,487094,22-Nov-25,,09-Jan-26,Completed
WS/MP18032/2024-2025/134034-Development of public parks,SUDHAKAR SINGH,BUXAR,Normal/Others,29-Nov-24,1491632,1491632,29-Nov-24,,27-Dec-24,Completed
WS/MP18032/2024-2025/134035-Development of public parks,SUDHAKAR SINGH,BUXAR,Normal/Others,17-Jan-25,966987,966987,17-Jan-25,,07-Feb-26,Completed
WS/MP18032/2024-2025/134037-Development of public parks,SUDHAKAR SINGH,BUXAR,Normal/Others,17-Oct-24,987671,987671,17-Oct-24,,02-Jan-26,Completed
WS/MP18032/2024-2025/134038-Installing tube-wells and borewells,SUDHAKAR SINGH,BUXAR,Normal/Others,09-Dec-24,991583,991583,09-Dec-24,,13-Jan-25,Completed
"WS/MP18032/2024-2025/134039-Construction of roads, link roads, pathways or any other road with or without drainage system",SUDHAKAR SINGH,BUXAR,Normal/Others,17-Dec-24,498672,498672,17-Dec-24,,28-Apr-25,Completed
"WS/MP18032/2024-2025/134041-Construction of roads, link roads, pathways or any other road with or without drainage system",SUDHAKAR SINGH,BUXAR,Normal/Others,09-Dec-24,447000,447000,09-Dec-24,,27-Dec-24,Completed
WS/MP632/2024-2025/134091-Purchase of vans and buses for educational institutions,Anto Antony,PATHANAMTHITTA,Normal/Others,11-Nov-24,1250000,,11-Nov-24,,,Work partially Completed
WS/MP632/2024-2025/134092-Lighting of public spaces,Anto Antony,PATHANAMTHITTA,Normal/Others,11-Nov-24,216919,216919,11-Nov-24,,26-Mar-26,Completed
"WS/MP632/2024-2025/134093-Construction of roads, link roads, pathways or any other road with or without drainage system",Anto Antony,PATHANAMTHITTA,Normal/Others,11-Nov-24,294496,294496,11-Nov-24,,04-Jul-25,Completed
WS/MP632/2024-2025/134094-Lighting of public spaces,Anto Antony,PATHANAMTHITTA,Normal/Others,12-Nov-24,218008,218008,12-Nov-24,,26-Mar-26,Completed
"WS/MP632/2024-2025/134095-Purchase of IT systems, including hardware and software for educational purposes",Anto Antony,PATHANAMTHITTA,Normal/Others,27-Mar-25,176535,176535,27-Mar-25,,29-Jan-26,Completed
WS/MP632/2024-2025/134096-Lighting of public spaces,Anto Antony,PATHANAMTHITTA,Normal/Others,11-Nov-24,215081,215081,11-Nov-24,,26-Mar-26,Completed
WS/MP632/2024-2025/134100-Lighting of public spaces,Anto Antony,PATHANAMTHITTA,Normal/Others,11-Nov-24,218570,218570,11-Nov-24,,29-Sep-25,Completed
WS/MP632/2024-2025/134101-Lighting of public spaces,Anto Antony,PATHANAMTHITTA,Normal/Others,11-Nov-24,250000,,11-Nov-24,,,Sanction
WS/MP632/2024-2025/134102-Lighting of public spaces,Anto Antony,PATHANAMTHITTA,Normal/Others,11-Nov-24,216033,216033,11-Nov-24,,19-Dec-25,Completed
WS/MP632/2024-2025/134103-Lighting of public spaces,Anto Antony,PATHANAMTHITTA,Normal/Others,28-Nov-24,250000,,28-Nov-24,,,Physical Inspection
WS/MP632/2024-2025/134104-Lighting of public spaces,Anto Antony,PATHANAMTHITTA,Normal/Others,28-Nov-24,219694,219694,28-Nov-24,,24-Oct-25,Completed
WS/MP632/2024-2025/134105-Lighting of public spaces,Anto Antony,PATHANAMTHITTA,Normal/Others,28-Nov-24,250000,,28-Nov-24,,,Sanction
"WS/MP632/2024-2025/134106-Construction of roads, link roads, pathways or any other road with or without drainage system",Anto Antony,PATHANAMTHITTA,Normal/Others,28-Nov-24,286879,286879,28-Nov-24,,07-Nov-25,Completed
WS/MP632/2025-2026/134107-Providing supply pipelines for drinking water,Anto Antony,PATHANAMTHITTA,Normal/Others,23-Jun-25,200000,,23-Jun-25,,,Sanction
WS/MP345/2024-2025/134123-Construction of rooms and halls in school and colleges,Shri NK Premachandran,KOLLAM,Normal/Others,19-Aug-24,4740188,4740188,19-Aug-24,,06-Dec-24,Completed
"WS/MP345/2024-2025/134136-Construction of roads, link roads, pathways or any other road with or without drainage system",Shri NK Premachandran,KOLLAM,Normal/Others,26-Nov-24,1303959,1303959,26-Nov-24,,02-Dec-24,Completed
WS/MP345/2024-2025/134137-Construction of buildings for community cultural activities,Shri NK Premachandran,KOLLAM,Normal/Others,22-Nov-24,512291,512291,22-Nov-24,,21-Feb-25,Completed
"WS/MP345/2024-2025/134140-Construction of roads, link roads, pathways or any other road with or without drainage system",Shri NK Premachandran,KOLLAM,Normal/Others,29-Jul-24,293492,293492,29-Jul-24,,12-Aug-24,Completed
WS/MP345/2024-2025/134143-Construction of buildings for community cultural activities,Shri NK Premachandran,KOLLAM,Normal/Others,13-Aug-24,1182588,1182588,13-Aug-24,,28-Oct-24,Completed
WS/MP345/2024-2025/134144-Construction of buildings for community cultural activities,Shri NK Premachandran,KOLLAM,Normal/Others,13-Aug-24,338444,338444,13-Aug-24,,17-Aug-24,Completed
WS/MP345/2024-2025/134145-Construction of buildings for community cultural activities,Shri NK Premachandran,KOLLAM,Normal/Others,26-Sep-24,96867,96867,26-Sep-24,,27-Sep-24,Completed
WS/MP18182/2024-2025/134222-Construction of boundary walls of existing public and community buildings,DR RANI SRI KUMAR,TENKASI(SC),Normal/Others,25-Sep-24,2486079,2486079,25-Sep-24,,30-Sep-24,Completed
WS/MP18182/2024-2025/134223-Construction of boundary walls of existing public and community buildings,DR RANI SRI KUMAR,TENKASI(SC),Normal/Others,10-Oct-24,2493302,2493302,10-Oct-24,,10-Oct-24,Completed
WS/MP18182/2024-2025/134224-Construction of boundary walls of existing public and community buildings,DR RANI SRI KUMAR,TENKASI(SC),Normal/Others,25-Sep-24,2481067,2481067,25-Sep-24,,30-Sep-24,Completed
WS/MP18182/2024-2025/134225-Construction of boundary walls of existing public and community buildings,DR RANI SRI KUMAR,TENKASI(SC),Normal/Others,10-Oct-24,2482079,2482079,10-Oct-24,,10-Oct-24,Completed
WS/MP18067/2025-2026/134321-Construction of water tanks,SATPAL BRAHAMCHARI,SONEPAT,Normal/Others,17-Feb-26,545000,,17-Feb-26,,,Work partially Completed
WS/MP18067/2025-2026/134322-Construction of community centers and community halls,SATPAL BRAHAMCHARI,SONEPAT,Normal/Others,08-May-25,499000,,08-May-25,,,Work partially Completed
WS/MP18067/2025-2026/134323-Installation of multi-gym equipment,SATPAL BRAHAMCHARI,SONEPAT,Normal/Others,08-May-25,300000,,08-May-25,,,Work partially Completed
WS/MP485/2024-2025/134327-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,346475,346475,17-Sep-24,,25-Nov-24,Completed
WS/MP485/2024-2025/134328-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,345679,345679,17-Sep-24,,25-Nov-24,Completed
WS/MP485/2024-2025/134329-Construction of common work sheds/ common covered sitting area,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,499673,499673,17-Sep-24,,18-Apr-25,Completed
WS/MP485/2024-2025/134330-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,346477,346477,17-Sep-24,,25-Nov-24,Completed
WS/MP485/2024-2025/134331-Construction of common work sheds/ common covered sitting area,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,499680,499680,17-Sep-24,,02-Jun-25,Completed
WS/MP485/2024-2025/134332-Construction of community centers and community halls,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,1998845,1998845,17-Sep-24,,21-Feb-25,Completed
WS/MP485/2024-2025/134334-Providing drains and gutters for public drainage,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,449935,449935,17-Sep-24,,07-Jan-25,Completed
WS/MP485/2024-2025/134337-Installing community drinking water plants,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,238772,238772,17-Sep-24,,12-Dec-24,Completed
WS/MP485/2024-2025/134338-Construction of common work sheds/ common covered sitting area,Pratima Mondal,JOYNAGAR(SC),Normal/Others,17-Sep-24,349500,349500,17-Sep-24,,27-Feb-25,Completed
WS/MP389/2024-2025/134429-Construction of buildings for community cultural activities,Shri PP Chaudhary,PALI,Normal/Others,09-Jan-25,2257000,,09-Jan-25,,,Work partially Completed
WS/MP18065/2024-2025/134434-Construction of buildings for community cultural activities,DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,05-Nov-24,493629,493629,05-Nov-24,,06-Mar-25,Completed
WS/MP858/2024-2025/134457-Street lights,Asit Kumar Mal,BOLPUR(SC),Normal/Others,13-Nov-24,480941,480941,13-Nov-24,,20-Mar-25,Completed
WS/MP858/2024-2025/134458-Street lights,Asit Kumar Mal,BOLPUR(SC),Normal/Others,13-Nov-24,481037,481037,13-Nov-24,,27-Feb-25,Completed
WS/MP858/2024-2025/134459-Street lights,Asit Kumar Mal,BOLPUR(SC),Normal/Others,13-Nov-24,483060,483060,13-Nov-24,,20-Mar-25,Completed
WS/MP858/2024-2025/134461-Street lights,Asit Kumar Mal,BOLPUR(SC),Normal/Others,13-Nov-24,483060,483060,13-Nov-24,,20-Mar-25,Completed
WS/MP858/2024-2025/134462-Street lights,Asit Kumar Mal,BOLPUR(SC),Normal/Others,13-Nov-24,482916,482916,13-Nov-24,,26-Jun-25,Completed
WS/MP858/2024-2025/134463-Street lights,Asit Kumar Mal,BOLPUR(SC),Normal/Others,13-Nov-24,481037,481037,13-Nov-24,,21-Feb-25,Completed
WS/MP18159/2024-2025/134479-Installing tube-wells and borewells,BHUPENDER YADAV,ALWAR,Repair and Renovation,03-Dec-24,150000,,03-Dec-24,,,Sanction
WS/MP632/2025-2026/134588-Purchase Books for Library,Anto Antony,PATHANAMTHITTA,Normal/Others,25-Jun-25,50000,,25-Jun-25,,,Sanction
WS/MP632/2024-2025/134589-Purchase of books for public libraries/ digitization of library books,Anto Antony,PATHANAMTHITTA,Normal/Others,21-Jan-25,50000,50000,21-Jan-25,,08-Mar-26,Completed
WS/MP632/2026-2027/134591-Purchase of furniture and fixtures for educational purposes,Anto Antony,PATHANAMTHITTA,Normal/Others,09-Jul-26,96734,,09-Jul-26,,,Sanction
"WS/MP18278/2024-2025/134629-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,18-Sep-24,1000000,1000000,18-Sep-24,,17-Dec-24,Completed
WS/MP18278/2024-2025/134630-Construction of boundary walls of existing public and community buildings,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,20-Sep-24,1000000,1000000,20-Sep-24,,31-Dec-24,Completed
"WS/MP18278/2024-2025/134631-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,04-Sep-24,500000,500000,04-Sep-24,,05-Dec-24,Completed
"WS/MP18278/2024-2025/134632-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,04-Sep-24,1000000,1000000,04-Sep-24,,07-Feb-25,Completed
"WS/MP18278/2024-2025/134633-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,04-Sep-24,1000000,1000000,04-Sep-24,,10-Jan-25,Completed
WS/MP18278/2024-2025/134638-Construction of common work sheds/ common covered sitting area,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,23-Aug-24,300000,300000,23-Aug-24,,12-Feb-25,Completed
"WS/MP18278/2024-2025/134644-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,23-Aug-24,1000000,1000000,23-Aug-24,,12-Feb-25,Completed
"WS/MP18278/2024-2025/134646-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,23-Aug-24,999550,999550,23-Aug-24,,25-Nov-24,Completed
WS/MP18278/2024-2025/134649-Construction of culverts and bridges,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,03-Sep-24,998871,998871,03-Sep-24,,05-Mar-25,Completed
"WS/MP18278/2024-2025/134655-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,20-Sep-24,700000,700000,20-Sep-24,,18-Nov-24,Completed
"WS/MP18278/2024-2025/134658-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,24-Sep-24,999744,999744,24-Sep-24,,30-Jan-25,Completed
"WS/MP18278/2024-2025/134660-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,18-Sep-24,999856,999856,18-Sep-24,,25-Aug-25,Completed
WS/MP18278/2024-2025/134661-Construction of boundary walls of existing public and community buildings,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,08-Nov-24,500000,500000,08-Nov-24,,19-Feb-25,Completed
"WS/MP18278/2024-2025/134665-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,18-Oct-24,881196,881196,18-Oct-24,,29-Aug-25,Completed
"WS/MP18278/2024-2025/134666-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,26-Sep-24,999772,999772,26-Sep-24,,07-Jan-25,Completed
"WS/MP18278/2024-2025/134667-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,19-Sep-24,1200000,,19-Sep-24,,,Work partially Completed
"WS/MP18278/2024-2025/134668-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,16-Aug-24,1500000,1500000,16-Aug-24,,06-Dec-24,Completed
WS/MP18278/2024-2025/134670-Construction of boundary walls of existing public and community buildings,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,17-Sep-24,598982,598982,17-Sep-24,,14-Nov-24,Completed
"WS/MP18278/2024-2025/134671-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,21-Aug-24,500000,500000,21-Aug-24,,08-Oct-24,Completed
"WS/MP18278/2024-2025/134672-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,16-Aug-24,991511,991511,16-Aug-24,,17-Oct-24,Completed
"WS/MP18278/2024-2025/134673-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,29-Aug-24,499906,499906,29-Aug-24,,03-Dec-24,Completed
"WS/MP18278/2024-2025/134674-Construction of roads, link roads, pathways or any other road with or without drainage system",KAMLESH JANGDE,JANJGIR CHAMPA(SC),Normal/Others,28-Aug-24,998000,998000,28-Aug-24,,27-Nov-24,Completed
WS/MP508/2024-2025/134677-Street lights,CN Annadurai,TIRUVANNAMALAI,Normal/Others,21-Dec-24,435000,435000,21-Dec-24,,30-Mar-26,Completed
WS/MP508/2024-2025/134680-Street lights,CN Annadurai,TIRUVANNAMALAI,Normal/Others,21-Dec-24,435000,435000,21-Dec-24,,30-Mar-26,Completed
WS/MP508/2024-2025/134684-Street lights,CN Annadurai,TIRUVANNAMALAI,Normal/Others,21-Dec-24,435000,435000,21-Dec-24,,23-Dec-24,Completed
WS/MP508/2024-2025/134687-Street lights,CN Annadurai,TIRUVANNAMALAI,Normal/Others,12-Feb-25,435000,435000,12-Feb-25,,05-Jul-25,Completed
WS/MP508/2024-2025/134688-Street lights,CN Annadurai,TIRUVANNAMALAI,Normal/Others,12-Feb-25,435000,435000,12-Feb-25,,05-Jul-25,Completed
WS/MP508/2024-2025/134689-Street lights,CN Annadurai,TIRUVANNAMALAI,Normal/Others,12-Feb-25,435000,435000,12-Feb-25,,05-Jul-25,Completed
WS/MP552/2024-2025/134699-Construction of footpaths and pedestrian ways,Radha Mohan Singh,PURVI CHAMPARAN,Normal/Others,26-Sep-24,1491420,1491420,26-Sep-24,,05-Jul-25,Completed
NA-Development of public parks,Radha Mohan Singh,PURVI CHAMPARAN,Normal/Others,,,,,,,Recommended
WS/MP552/2024-2025/134702-Construction of common work sheds/ common covered sitting area,Radha Mohan Singh,PURVI CHAMPARAN,Normal/Others,11-Sep-24,1363504,1363504,11-Sep-24,,16-Dec-24,Completed
"WS/MP18006/2024-2025/134703-Construction of roads, link roads, pathways or any other road with or without drainage system",DAGGUMALLA PRASADA RAO,CHITTOOR,Normal/Others,23-Aug-24,500000,499993,23-Aug-24,,31-Jan-25,Completed
WS/MP508/2025-2026/134707-Street lights,CN Annadurai,TIRUVANNAMALAI,Normal/Others,21-Nov-25,435000,434102,21-Nov-25,,03-Feb-26,Completed
WS/MP508/2025-2026/134708-Street lights,CN Annadurai,TIRUVANNAMALAI,Normal/Others,20-Jun-25,434956,434956,20-Jun-25,,27-Jun-25,Completed
WS/MP508/2025-2026/134709-Street lights,CN Annadurai,TIRUVANNAMALAI,Normal/Others,20-Jun-25,434956,434956,20-Jun-25,,27-Jun-25,Completed
WS/MP508/2025-2026/134710-Street lights,CN Annadurai,TIRUVANNAMALAI,Normal/Others,02-Jul-25,435000,435000,02-Jul-25,,11-Jul-25,Completed
WS/MP508/2025-2026/134711-Street lights,CN Annadurai,TIRUVANNAMALAI,Normal/Others,02-Jul-25,435000,435000,02-Jul-25,,11-Jul-25,Completed
WS/MP18065/2025-2026/134736-Construction of buildings for multi-gym,DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,01-Sep-25,1000000,,01-Sep-25,,,Physical Inspection
WS/MP18065/2024-2025/134737-Setting up public non-conventional energy plants,DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,18-Oct-24,800000,719330,18-Oct-24,,19-Mar-25,Completed
NA-Construction of community centers and community halls,DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,,,,,,,Recommended
WS/MP18065/2024-2025/134739-Construction of community centers and community halls,DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,09-Dec-24,500000,438977,09-Dec-24,,09-Feb-26,Completed
WS/MP18065/2025-2026/134740-Construction of community centers and community halls,DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,04-Aug-25,1100000,947837,04-Aug-25,,13-Mar-26,Completed
WS/MP18065/2024-2025/134741-Construction of boundary walls of existing public and community buildings,DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,05-Nov-24,500000,,05-Nov-24,,,Sanction
WS/MP18065/2024-2025/134742-Construction of community centers and community halls,DEEPENDER SINGH HOODA,ROHTAK,Normal/Others,04-Mar-25,1100000,,04-Mar-25,,,Vendor Identification
WS/MP485/2024-2025/134780-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227446,227446,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134781-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227446,227446,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134782-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227446,227446,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134783-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227446,227446,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134784-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227446,227446,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134785-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227469,227469,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134786-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227469,227469,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134787-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227469,227469,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134788-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227469,227469,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134789-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227469,227469,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134790-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227469,227469,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134791-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227469,227469,09-Dec-24,,16-Oct-25,Completed
WS/MP485/2024-2025/134792-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227469,227469,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134793-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227469,227469,09-Dec-24,,08-Aug-26,Completed
WS/MP681/2024-2025/134797-Construction of community centers and community halls,Sanjay Haribhau Jadhav,PARBHANI,Normal/Others,09-Sep-24,997623,997623,09-Sep-24,,18-Jul-25,Completed
WS/MP681/2024-2025/134798-Construction of community centers and community halls,Sanjay Haribhau Jadhav,PARBHANI,Normal/Others,03-Oct-24,998788,998788,03-Oct-24,,20-Mar-25,Completed
WS/MP681/2024-2025/134799-Construction of community centers and community halls,Sanjay Haribhau Jadhav,PARBHANI,Normal/Others,27-Sep-24,999356,999356,27-Sep-24,,18-Apr-26,Completed
WS/MP681/2024-2025/134800-Construction of community centers and community halls,Sanjay Haribhau Jadhav,PARBHANI,Normal/Others,27-Sep-24,999753,999753,27-Sep-24,,13-Jul-25,Completed
WS/MP681/2024-2025/134801-Construction of community centers and community halls,Sanjay Haribhau Jadhav,PARBHANI,Normal/Others,11-Oct-24,999978,999978,11-Oct-24,,23-Jun-25,Completed
WS/MP681/2024-2025/134802-Construction of community centers and community halls,Sanjay Haribhau Jadhav,PARBHANI,Normal/Others,27-Sep-24,1493920,1493920,27-Sep-24,,18-Jul-25,Completed
WS/MP681/2024-2025/134803-Construction of community centers and community halls,Sanjay Haribhau Jadhav,PARBHANI,Normal/Others,27-Sep-24,999904,999904,27-Sep-24,,04-May-25,Completed
WS/MP681/2024-2025/134804-Construction of community centers and community halls,Sanjay Haribhau Jadhav,PARBHANI,Normal/Others,03-Oct-24,999896,999896,03-Oct-24,,11-Apr-25,Completed
WS/MP681/2024-2025/134805-Construction of community centers and community halls,Sanjay Haribhau Jadhav,PARBHANI,Normal/Others,09-Oct-24,999711,,09-Oct-24,,,Vendor Identification
WS/MP485/2024-2025/134826-Installing community drinking water plants,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,312408,312408,09-Dec-24,,09-Aug-26,Completed
WS/MP485/2024-2025/134827-Installing community drinking water plants,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,310393,310393,09-Dec-24,,09-Aug-26,Completed
WS/MP485/2024-2025/134828-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227469,227469,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134829-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,09-Dec-24,227446,227446,09-Dec-24,,08-Aug-26,Completed
WS/MP485/2024-2025/134837-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,19-Mar-25,250000,249621,19-Mar-25,,10-Sep-25,Completed
WS/MP485/2024-2025/134838-Street lights,Pratima Mondal,JOYNAGAR(SC),Normal/Others,19-Mar-25,249625,249625,19-Mar-25,,10-Sep-25,Completed
WS/MP492/2024-2025/134981-Construction of bus-sheds or bus-stops,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),Normal/Others,28-Aug-24,9900000,9900000,28-Aug-24,,25-Nov-24,Completed
WS/MP492/2024-2025/134984-Lighting of public spaces,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),Normal/Others,28-Aug-24,37908000,37908000,28-Aug-24,,25-Nov-24,Completed
WS/MP18271/2025-2026/135003-Lighting of public spaces,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Normal/Others,11-Sep-25,586716,,11-Sep-25,,,Vendor Identification
WS/MP18271/2025-2026/135004-Lighting of public spaces,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Normal/Others,27-Aug-25,586716,,27-Aug-25,,,Vendor Identification
WS/MP18271/2025-2026/135005-Lighting of public spaces,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Normal/Others,27-Aug-25,586716,,27-Aug-25,,,Vendor Identification
WS/MP18271/2025-2026/135006-Lighting of public spaces,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Normal/Others,27-Aug-25,586716,,27-Aug-25,,,Vendor Identification
WS/MP18271/2025-2026/135007-Lighting of public spaces,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Normal/Others,27-Aug-25,586716,,27-Aug-25,,,Vendor Identification
WS/MP18271/2025-2026/135008-Lighting of public spaces,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Normal/Others,11-Sep-25,586716,,11-Sep-25,,,Vendor Identification
WS/MP18271/2025-2026/135009-Lighting of public spaces,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Normal/Others,11-Sep-25,586716,,11-Sep-25,,,Vendor Identification
WS/MP18271/2025-2026/135010-Lighting of public spaces,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Normal/Others,11-Sep-25,586716,,11-Sep-25,,,Vendor Identification
